param_model__C,param_model__gamma,mean_test_score,std_test_score,mean_fit_time
0.1,scale,0.9377145618934251,0.018035401330066425,0.13434009552001952
0.1,0.01,0.9420777052286757,0.014346509073382314,0.13443102836608886
0.1,0.1,0.9341348980971171,0.015686790810568795,0.11187944412231446
1.0,scale,0.9669402274244406,0.015965597957213588,0.04093766212463379
1.0,0.01,0.9690407749147297,0.01628269880928693,0.033968782424926756
1.0,0.1,0.9533230330206756,0.012853369084693056,0.05713605880737305
10.0,scale,0.9670861669558555,0.013638400817014744,0.03479371070861816
10.0,0.01,0.9738878509919948,0.01767667524460028,0.028710031509399415
10.0,0.1,0.9375316134071167,0.023718217533153528,0.05275969505310059
